Distretto,Comune,Casi ultimi 7gg,Incidenza x 100.000 ab 7 gg,Variazione tra le settimane
GIARRE,FIUMEFREDDO DI SICILIA,8,87.73,100%
GIARRE,PIEDIMONTE ETNEO,3,74.72,200%
GIARRE,GIARRE,12,45.13,100%
GIARRE,LINGUAGLOSSA,2,39.26,0%
GIARRE,RIPOSTO,5,35.71,67%
GIARRE,CASTIGLIONE DI SICILIA,1,33.26,---
GIARRE,MASCALI,2,14.39,100%
GIARRE,CALATABIANO,0,0.00,-100%
GIARRE,SANT'ALFIO,0,0.00,-100%
TAORMINA,FRANCAVILLA DI SICILIA,5,138.16,400%
TAORMINA,LIMINA,1,137.55,---
TAORMINA,CASTELMOLA,1,91.83,-50%
TAORMINA,GAGGI,2,64.18,---
TAORMINA,CESARÒ,1,46.15,---
TAORMINA,GIARDINI-NAXOS,4,43.73,300%
TAORMINA,SANTA TERESA DI RIVA,4,42.49,-33%
TAORMINA,TAORMINA,3,28.53,-67%
TAORMINA,MOTTA CAMASTRA,0,0.00,---
TAORMINA,FORZA D'AGRÒ,0,0.00,---
TAORMINA,SANTA DOMENICA VITTORIA,0,0.00,---
TAORMINA,MONGIUFFI MELIA,0,0.00,---
TAORMINA,ROCCAFIORITA,0,0.00,---
TAORMINA,MOIO ALCANTARA,0,0.00,---
TAORMINA,GALLODORO,0,0.00,---
TAORMINA,ANTILLO,0,0.00,---
TAORMINA,SAN TEODORO,0,0.00,---
TAORMINA,SANT'ALESSIO SICULO,0,0.00,-100%
TAORMINA,ROCCELLA VALDEMONE,0,0.00,---
TAORMINA,LETOJANNI,0,0.00,---
TAORMINA,CASALVECCHIO SICULO,0,0.00,---
TAORMINA,GRANITI,0,0.00,---
TAORMINA,SAVOCA,0,0.00,-100%
TAORMINA,MALVAGNA,0,0.00,---
SCIACCA,SCIACCA,24,61.42,118%
SCIACCA,SAMBUCA DI SICILIA,1,18.03,0%
SCIACCA,SANTA MARGHERITA DI,,,
SCIACCA,BELICE,,,
SCIACCA,MENFI,0,0.00,-100%
SCIACCA,CALTABELLOTTA,0,0.00,-100%
SCIACCA,MONTEVAGO,0,0.00,---
BARCELLONA POZZO DI GOTTO,BARCELLONA POZZO DI GOTTO,23,57.12,283%
BARCELLONA POZZO DI GOTTO,MONTALBANO ELICONA,1,48.69,---
BARCELLONA POZZO DI GOTTO,FURNARI,1,25.89,---
BARCELLONA POZZO DI GOTTO,RODÌ MILICI,0,0.00,-100%
BARCELLONA POZZO DI GOTTO,TRIPI,0,0.00,---
BARCELLONA POZZO DI GOTTO,NOVARA DI SICILIA,0,0.00,-100%
BARCELLONA POZZO DI GOTTO,FONDACHELLI-FANTINA,0,0.00,---
BARCELLONA POZZO DI GOTTO,FALCONE,0,0.00,---
BARCELLONA POZZO DI GOTTO,CASTROREALE,0,0.00,---
BARCELLONA POZZO DI GOTTO,TERME VIGLIATORE,0,0.00,---
BARCELLONA POZZO DI GOTTO,BASICÒ,0,0.00,---
BARCELLONA POZZO DI GOTTO,MERÌ,0,0.00,---
BARCELLONA POZZO DI GOTTO,MAZZARRÀ SANT'ANDREA,0,0.00,---
RAGUSA,CHIARAMONTE GULFI,6,75.39,---
RAGUSA,RAGUSA,26,36.48,30%
RAGUSA,SANTA CROCE CAMERINA,3,27.81,0%
RAGUSA,GIARRATANA,0,0.00,---
RAGUSA,MONTEROSSO ALMO,0,0.00,---
CANICATTI',NARO,10,139.76,900%
CANICATTI',CANICATTÌ,14,40.01,75%
CANICATTI',GROTTE,2,37.37,100%
CANICATTI',RAVANUSA,1,9.21,---
CANICATTI',CAMPOBELLO DI LICATA,0,0.00,-100%
CANICATTI',CAMASTRA,0,0.00,---
CANICATTI',CASTROFILIPPO,0,0.00,---
CANICATTI',RACALMUTO,0,0.00,---
PALAGONIA,PALAGONIA,14,87.06,-36%
PALAGONIA,CASTEL DI IUDICA,3,68.60,-57%
PALAGONIA,RAMACCA,2,19.23,-71%
PALAGONIA,MILITELLO IN VAL DI CATANIA,0,0.00,---
PALAGONIA,SCORDIA,0,0.00,-100%
PALAGONIA,RADDUSA,0,0.00,---
PATERNO',BELPASSO,15,54.55,36%
PATERNO',PATERNÒ,10,21.86,11%
PATERNO',RAGALNA,0,0.00,-100%
NOTO,PACHINO,13,59.85,8%
NOTO,NOTO,11,46.33,38%
NOTO,AVOLA,7,22.96,-79%
NOTO,ROSOLINI,1,4.84,---
NOTO,PORTOPALO DI CAPO PASSERO,0,0.00,-100%
LAMPEDUSA E LINOSA,LAMPEDUSA E LINOSA,2,31.38,100%
AGIRA,REGALBUTO,4,58.70,-60%
AGIRA,AGIRA,3,38.47,---
AGIRA,LEONFORTE,2,15.77,-78%
AGIRA,NISSORIA,0,0.00,---
AGIRA,ASSORO,0,0.00,-100%
PARTINICO,SAN GIUSEPPE JATO,5,60.63,0%
PARTINICO,PARTINICO,12,39.05,200%
PARTINICO,CAMPOREALE,1,32.89,---
PARTINICO,BORGETTO,0,0.00,-100%
PARTINICO,GIARDINELLO,0,0.00,-100%
PARTINICO,BALESTRATE,0,0.00,---
PARTINICO,SAN CIPIRELLO,0,0.00,---
PARTINICO,TRAPPETO,0,0.00,---
PARTINICO,MONTELEPRE,0,0.00,-100%
ADRANO,ADRANO,10,29.60,-44%
ADRANO,BIANCAVILLA,5,21.80,400%
ADRANO,SANTA MARIA DI LICODIA,1,13.50,-67%
VITTORIA,COMISO,8,26.49,-50%
VITTORIA,VITTORIA,14,22.48,-48%
VITTORIA,ACATE,2,18.27,-78%
NICOSIA,NICOSIA,7,53.62,-59%
NICOSIA,CERAMI,0,0.00,---
NICOSIA,SPERLINGA,0,0.00,---
NICOSIA,CAPIZZI,0,0.00,-100%
NICOSIA,TROINA,0,0.00,---
NICOSIA,GAGLIANO CASTELFERRATO,0,0.00,---
ALCAMO,CASTELLAMMARE DEL GOLFO,9,61.46,-31%
ALCAMO,ALCAMO,5,11.15,-50%
ALCAMO,CALATAFIMI-SEGESTA,0,0.00,---
SANT'AGATA DI MILITELLO,TORTORICI,10,168.01,-9%
SANT'AGATA DI MILITELLO,MIRTO,1,109.77,---
SANT'AGATA DI MILITELLO,ACQUEDOLCI,1,18.20,---
SANT'AGATA DI MILITELLO,CAPO D'ORLANDO,2,15.20,100%
SANT'AGATA DI MILITELLO,FRAZZANÒ,0,0.00,---
SANT'AGATA DI MILITELLO,ALCARA LI FUSI,0,0.00,---
SANT'AGATA DI MILITELLO,CARONIA,0,0.00,---
SANT'AGATA DI MILITELLO,SAN FRATELLO,0,0.00,---
SANT'AGATA DI MILITELLO,GALATI MAMERTINO,0,0.00,-100%
SANT'AGATA DI MILITELLO,NASO,0,0.00,---
SANT'AGATA DI MILITELLO,CASTELL'UMBERTO,0,0.00,---
SANT'AGATA DI MILITELLO,SANT'AGATA DI MILITELLO,0,0.00,---
SANT'AGATA DI MILITELLO,SAN MARCO D'ALUNZIO,0,0.00,---
SANT'AGATA DI MILITELLO,CAPRI LEONE,0,0.00,-100%
SANT'AGATA DI MILITELLO,TORRENOVA,0,0.00,---
SANT'AGATA DI MILITELLO,SAN SALVATORE DI FITALIA,0,0.00,---
SANT'AGATA DI MILITELLO,LONGI,0,0.00,---
SANT'AGATA DI MILITELLO,MILITELLO ROSMARINO,0,0.00,---
CALTAGIRONE,MAZZARRONE,6,153.37,-57%
CALTAGIRONE,LICODIA EUBEA,4,135.04,300%
CALTAGIRONE,CALTAGIRONE,4,11.19,-20%
CALTAGIRONE,GRAMMICHELE,1,7.83,---
CALTAGIRONE,SAN MICHELE DI GANZARIA,0,0.00,---
CALTAGIRONE,SAN CONO,0,0.00,---
CALTAGIRONE,VIZZINI,0,0.00,-100%
CALTAGIRONE,MIRABELLA IMBACCARI,0,0.00,---
CALTAGIRONE,MINEO,0,0.00,---
CALTANISSETTA,RIESI,9,82.92,125%
CALTANISSETTA,SANTA CATERINA VILLARMOSA,1,20.39,---
CALTANISSETTA,SOMMATINO,1,15.22,---
CALTANISSETTA,CALTANISSETTA,6,10.10,-68%
CALTANISSETTA,DELIA,0,0.00,-100%
CALTANISSETTA,RESUTTANO,0,0.00,---
PALERMO,BELMONTE MEZZAGNO,28,253.32,2700%
PALERMO,VILLABATE,11,56.00,57%
PALERMO,PALERMO,99,15.45,-20%
PALERMO,MONREALE,1,2.68,-50%
PALERMO,USTICA,0,0.00,---
PALERMO,ALTOFONTE,0,0.00,-100%
PALERMO,SANTA CRISTINA GELA,0,0.00,---
PALERMO,PIANA DEGLI ALBANESI,0,0.00,---
MODICA,MODICA,13,24.24,1200%
MODICA,SCICLI,4,14.83,-56%
MODICA,ISPICA,1,6.18,0%
MODICA,POZZALLO,1,5.25,-83%
AGRIGENTO,RAFFADALI,8,64.68,14%
AGRIGENTO,PORTO EMPEDOCLE,2,12.64,-82%
AGRIGENTO,AGRIGENTO,7,12.49,133%
AGRIGENTO,FAVARA,4,12.33,300%
AGRIGENTO,ARAGONA,1,11.10,---
AGRIGENTO,COMITINI,0,0.00,---
AGRIGENTO,SANT'ANGELO MUXARO,0,0.00,---
AGRIGENTO,REALMONTE,0,0.00,-100%
AGRIGENTO,SANTA ELISABETTA,0,0.00,---
AGRIGENTO,SICULIANA,0,0.00,---
AGRIGENTO,JOPPOLO GIANCAXIO,0,0.00,---
SAN CATALDO,MARIANOPOLI,2,119.40,-78%
SAN CATALDO,SAN CATALDO,3,14.41,0%
SAN CATALDO,MILENA,0,0.00,---
SAN CATALDO,BOMPENSIERE,0,0.00,---
SAN CATALDO,SERRADIFALCO,0,0.00,---
SAN CATALDO,MONTEDORO,0,0.00,---
TRAPANI,VALDERICE,5,43.28,---
TRAPANI,ERICE,5,18.96,-83%
TRAPANI,CUSTONACI,1,18.67,0%
TRAPANI,TRAPANI,8,12.26,-73%
TRAPANI,SAN VITO LO CAPO,0,0.00,-100%
TRAPANI,FAVIGNANA,0,0.00,---
TRAPANI,BUSETO PALIZZOLO,0,0.00,---
TRAPANI,PACECO,0,0.00,-100%
MARSALA,MARSALA,12,14.93,-20%
MARSALA,PETROSINO,0,0.00,-100%
CARINI,CAPACI,4,34.57,100%
CARINI,ISOLA DELLE FEMMINE,2,28.26,---
CARINI,CINISI,1,8.41,-67%
CARINI,TERRASINI,1,7.98,-75%
CARINI,CARINI,3,7.73,---
CARINI,TORRETTA,0,0.00,---
BAGHERIA,CASTELDACCIA,3,25.99,-82%
BAGHERIA,FICARAZZI,3,23.51,-40%
BAGHERIA,BAGHERIA,4,7.53,-60%
BAGHERIA,ALTAVILLA MILICIA,0,0.00,-100%
BAGHERIA,SANTA FLAVIA,0,0.00,---
MUSSOMELI,MUSSOMELI,2,19.78,0%
MUSSOMELI,ACQUAVIVA PLATANI,0,0.00,---
MUSSOMELI,CAMPOFRANCO,0,0.00,---
MUSSOMELI,VALLELUNGA PRATAMENO,0,0.00,---
MUSSOMELI,VILLALBA,0,0.00,---
MUSSOMELI,SUTERA,0,0.00,---
TERMINI IMERESE,CACCAMO,2,25.20,---
TERMINI IMERESE,TRABIA,2,19.52,-60%
TERMINI IMERESE,TERMINI IMERESE,2,7.88,---
TERMINI IMERESE,CERDA,0,0.00,---
TERMINI IMERESE,SCLAFANI BAGNI,0,0.00,---
TERMINI IMERESE,SCILLATO,0,0.00,---
TERMINI IMERESE,CALTAVUTURO,0,0.00,---
TERMINI IMERESE,ALIMINUSA,0,0.00,---
TERMINI IMERESE,MONTEMAGGIORE BELSITO,0,0.00,---
TERMINI IMERESE,SCIARA,0,0.00,---
PATTI,FLORESTA,1,226.76,0%
PATTI,LIBRIZZI,3,186.45,---
PATTI,OLIVERI,0,0.00,---
PATTI,SINAGRA,0,0.00,---
PATTI,BROLO,0,0.00,---
PATTI,SANT'ANGELO DI BROLO,0,0.00,---
PATTI,MONTAGNAREALE,0,0.00,---
PATTI,SAN PIERO PATTI,0,0.00,---
PATTI,GIOIOSA MAREA,0,0.00,-100%
PATTI,RACCUJA,0,0.00,---
PATTI,FICARRA,0,0.00,---
PATTI,PIRAINO,0,0.00,-100%
PATTI,UCRIA,0,0.00,---
PATTI,PATTI,0,0.00,-100%
BRONTE,BRONTE,3,16.28,200%
BRONTE,MALETTO,0,0.00,---
BRONTE,RANDAZZO,0,0.00,-100%
BRONTE,MANIACE,0,0.00,-100%
BIVONA,SANTO STEFANO QUISQUINA,1,23.60,---
BIVONA,BIVONA,0,0.00,---
BIVONA,ALESSANDRIA DELLA ROCCA,0,0.00,---
BIVONA,SAN BIAGIO PLATANI,0,0.00,---
BIVONA,CIANCIANA,0,0.00,---
MAZARA DEL VALLO,MAZARA DEL VALLO,4,7.99,-56%
MAZARA DEL VALLO,GIBELLINA,0,0.00,---
MAZARA DEL VALLO,VITA,0,0.00,-100%
MAZARA DEL VALLO,SALEMI,0,0.00,---
CEFALU',CEFALÙ,2,14.29,-50%
CEFALU',SAN MAURO CASTELVERDE,0,0.00,---
CEFALU',CASTELBUONO,0,0.00,---
CEFALU',POLLINA,0,0.00,---
CEFALU',COLLESANO,0,0.00,-100%
CEFALU',LASCARI,0,0.00,---
CEFALU',CAMPOFELICE DI ROCCELLA,0,0.00,---
CEFALU',ISNELLO,0,0.00,---
CEFALU',GRATTERI,0,0.00,---
CORLEONE,ROCCAMENA,1,71.99,---
CORLEONE,CAMPOFIORITO,0,0.00,---
CORLEONE,CHIUSA SCLAFANI,0,0.00,---
CORLEONE,GIULIANA,0,0.00,---
CORLEONE,BISACQUINO,0,0.00,---
CORLEONE,CORLEONE,0,0.00,---
CORLEONE,CONTESSA ENTELLINA,0,0.00,---
PETRALIA SOTTANA,BOMPIETRO,1,78.99,---
PETRALIA SOTTANA,POLIZZI GENEROSA,0,0.00,---
PETRALIA SOTTANA,BLUFI,0,0.00,---
PETRALIA SOTTANA,PETRALIA SOTTANA,0,0.00,-100%
PETRALIA SOTTANA,CASTELLANA SICULA,0,0.00,---
PETRALIA SOTTANA,PETRALIA SOPRANA,0,0.00,---
PETRALIA SOTTANA,ALIMENA,0,0.00,---
PETRALIA SOTTANA,GERACI SICULO,0,0.00,---
PETRALIA SOTTANA,GANGI,0,0.00,-100%
CASTELVETRANO,PARTANNA,1,10.00,0%
CASTELVETRANO,CAMPOBELLO DI MAZARA,1,8.72,-75%
CASTELVETRANO,CASTELVETRANO,0,0.00,-100%
CASTELVETRANO,SALAPARUTA,0,0.00,---
CASTELVETRANO,SANTA NINFA,0,0.00,---
CASTELVETRANO,POGGIOREALE,0,0.00,---
PIAZZA ARMERINA,BARRAFRANCA,1,8.37,---
PIAZZA ARMERINA,AIDONE,0,0.00,---
PIAZZA ARMERINA,PIETRAPERZIA,0,0.00,---
PIAZZA ARMERINA,PIAZZA ARMERINA,0,0.00,---
MISILMERI,MISILMERI,1,3.50,-83%
MISILMERI,BOLOGNETTA,0,0.00,-100%
MISILMERI,VENTIMIGLIA DI SICILIA,0,0.00,---
MISILMERI,VILLAFRATI,0,0.00,---
MISILMERI,CIMINNA,0,0.00,---
MISILMERI,CEFALÀ DIANA,0,0.00,-100%
MISILMERI,CAMPOFELICE DI FITALIA,0,0.00,---
MISILMERI,MEZZOJUSO,0,0.00,---
MISILMERI,BAUCINA,0,0.00,---
MISILMERI,MARINEO,0,0.00,---
MISILMERI,GODRANO,0,0.00,---
CASTELTERMINI,SAN GIOVANNI GEMINI,0,0.00,---
CASTELTERMINI,CAMMARATA,0,0.00,---
CASTELTERMINI,CASTELTERMINI,0,0.00,---
PANTELLERIA,PANTELLERIA,0,0.00,---
LIPARI,LENI,0,0.00,---
LIPARI,LIPARI,0,0.00,---
LIPARI,SANTA MARINA SALINA,0,0.00,---
LIPARI,MALFA,0,0.00,—
